"position_id","inst_id","title","responsibilities","start_date","end_date"
"1","1","Bachelor of Science, Computer Science","GPA: 3.54/4.0","2022-09-01","2026-12-31"
"2","2","Data Analytics & Engineering SSA Intern","Collaborated with technical team using AGILE to build Enterprise Data & AI Platform infrastructure. Used SQL, Python, IBM mainframe, Power BI for business analytics and dashboards.","2025-06-01",NULL
"3","2","IT Strategic Support Associate Intern","Collaborated with technical team using AGILE for customer satisfaction. Processed core IT functions including data analysis, account maintenance, managing technical projects, creating technical documentation, customer interactions, and associative engagement. Successfully enhanced every technical team goal and core business functionality.","2024-08-01","2025-06-01"
"4","3","Software & Technology Consulting Analyst Intern","Collaborated with engineering team on application-based pricing tool using AGILE in Excel named Phoenix. Implemented Agile development principles to build scalable application deployment pipelines and new web hosted applications.","2024-05-01","2024-08-01"
"5","4","Secretary","Re-birthed this club with fellow members. Organized board meetings and hosted cultural events. Managed documentation to keep records of meetings, important reminders, and plans.","2025-01-01",NULL
"6","5","Student Projects","Academic projects completed during coursework at Michigan State University.","2022-09-01",NULL
